Order_ID,Order_Date,Customer_ID,Region,Category,Product,Quantity,Unit_Price,Discount,Revenue,Cost,Profit,Payment_Method
ORD00087,2025-08-02,CUST0218,South,Furniture,Desk,1,43.42,0.09,39.51,29.1,10.41,Net Banking
ORD00088,2025-10-09,CUST0353,East,Electronics,Keyboard,4,146.77,0.22,457.92,236.81,221.11,Debit Card
ORD00089,2025-05-31,CUST0428,East,Accessories,Mouse,7,122.75,0.13,747.55,354.09,393.46,Net Banking
ORD00090,2025-01-15,CUST0058,East,Furniture,Desk,8,1322.52,0.16,8887.33,5657.1,3230.23,Debit Card
ORD00091,2024-12-19,CUST0471,West,Accessories,Webcam,2,1491.33,0.17,2475.61,1597.32,878.29,Net Banking
ORD00092,2024-11-06,CUST0208,South,Accessories,Webcam,4,1443.27,0.16,4849.39,3463.4,1385.99,Debit Card
ORD00093,2025-10-09,CUST0468,East,Furniture,Chair,9,1236.27,0.0,11126.43,6178.49,4947.94,Net Banking
ORD00094,2024-09-04,CUST0364,North,Furniture,Chair,7,610.99,0.04,4105.85,3273.88,831.97,Credit Card
ORD00095,2024-06-09,CUST0272,West,Furniture,Chair,5,157.54,0.06,740.44,537.39,203.05,Debit Card
ORD00096,2025-07-31,CUST0361,Central,Furniture,Cabinet,2,113.4,0.03,220.0,116.51,103.49,Debit Card
ORD00097,2025-02-10,CUST0154,West,Furniture,Bookshelf,9,839.63,0.08,6952.14,4094.42,2857.72,Debit Card
ORD00098,2024-04-10,CUST0244,South,Accessories,USB Hub,6,1380.7,0.12,7290.1,5812.07,1478.03,Net Banking
ORD00099,2024-08-03,CUST0490,East,Furniture,Bookshelf,1,192.22,0.2,153.78,89.69,64.09,Net Banking
ORD00100,2024-05-09,CUST0419,South,Electronics,Keyboard,4,1231.73,0.08,4532.77,2076.07,2456.7,Debit Card
ORD00101,2024-10-15,CUST0164,North,Office Supplies,Pen Set,2,968.64,0.21,1530.45,759.69,770.76,Debit Card
ORD00102,2024-01-25,CUST0141,Central,Furniture,Cabinet,6,1247.41,0.08,6885.7,5394.8,1490.9,Debit Card
ORD00103,2024-01-12,CUST0288,West,Furniture,Cabinet,5,58.2,0.03,282.27,222.17,60.1,Credit Card
ORD00104,2024-02-12,CUST0254,South,Accessories,USB Hub,4,670.48,0.03,2601.46,1754.14,847.32,Net Banking
ORD00105,2024-12-10,CUST0130,East,Furniture,Bookshelf,3,591.96,0.14,1527.26,789.78,737.48,Debit Card
ORD00106,2024-05-28,CUST0329,West,Furniture,Desk,8,460.09,0.11,3275.84,1669.8,1606.04,Debit Card
ORD00107,2025-09-06,CUST0040,North,Furniture,Chair,3,283.09,0.17,704.89,469.68,235.21,Credit Card
ORD00108,2025-11-20,CUST0063,Central,Accessories,USB Hub,4,277.15,0.16,931.22,695.44,235.78,Net Banking
ORD00109,2025-08-20,CUST0133,South,Furniture,Bookshelf,3,564.28,0.1,1523.56,1126.88,396.68,Debit Card
ORD00110,2025-02-26,CUST0389,North,Office Supplies,Stapler,5,48.4,0.06,227.48,162.9,64.58,Credit Card
ORD00111,2025-11-02,CUST0164,North,Accessories,Mouse,2,951.36,0.05,1807.58,854.29,953.29,UPI
ORD00112,2025-12-08,CUST0034,West,Office Supplies,Notebook,5,1269.65,0.02,6221.28,3862.7,2358.58,Net Banking
ORD00113,2025-02-25,CUST0042,Central,Accessories,Laptop Stand,2,724.51,0.09,1318.61,775.43,543.18,Debit Card
ORD00114,2024-05-08,CUST0130,West,Furniture,Desk,1,1433.9,0.2,1147.12,642.84,504.28,Net Banking
ORD00115,2024-10-10,CUST0203,South,Office Supplies,Notebook,1,1264.49,0.01,1251.85,958.44,293.41,Net Banking
ORD00116,2024-06-21,CUST0467,Central,Accessories,USB Hub,6,962.27,0.15,4907.58,2322.9,2584.68,Net Banking
ORD00117,2024-03-27,CUST0043,North,Electronics,Headphones,1,676.04,0.01,669.28,310.08,359.2,Credit Card
ORD00118,2024-08-19,CUST0314,West,Furniture,Bookshelf,8,175.94,0.01,1393.44,875.08,518.36,UPI
ORD00119,2024-09-17,CUST0261,South,Accessories,Laptop Stand,3,998.83,0.05,2846.67,1454.47,1392.2,Debit Card
ORD00120,2025-04-07,CUST0434,East,Electronics,Keyboard,1,457.26,0.19,370.38,247.65,122.73,Credit Card
ORD00121,2024-07-08,CUST0255,South,Accessories,Laptop Stand,4,1166.46,0.16,3919.31,2491.14,1428.17,Debit Card
ORD00122,2025-11-23,CUST0160,West,Electronics,Laptop,4,453.38,0.24,1378.28,910.57,467.71,Debit Card
ORD00123,2024-05-03,CUST0473,South,Furniture,Bookshelf,1,1393.56,0.06,1309.95,760.11,549.84,Debit Card
ORD00124,2024-05-01,CUST0032,North,Office Supplies,Pen Set,4,199.82,0.05,759.32,577.4,181.92,Net Banking
ORD00125,2024-10-28,CUST0360,West,Electronics,Laptop,2,961.38,0.06,1807.39,1432.25,375.14,Net Banking
ORD00126,2025-04-10,CUST0258,Central,Accessories,USB Hub,6,1134.72,0.07,6331.74,4045.0,2286.74,Credit Card
ORD00127,2024-03-28,CUST0044,Central,Furniture,Bookshelf,4,1230.32,0.05,4675.22,2931.59,1743.63,Debit Card
ORD00128,2024-01-19,CUST0023,Central,Electronics,Keyboard,5,893.71,0.13,3887.64,2154.3,1733.34,Debit Card
ORD00129,2025-10-17,CUST0072,North,Accessories,USB Hub,9,1146.46,0.04,9905.41,6057.61,3847.8,Net Banking
ORD00130,2025-05-05,CUST0473,South,Accessories,Mouse,3,1487.88,0.02,4374.37,2583.17,1791.2,Credit Card
ORD00131,2025-01-27,CUST0500,West,Accessories,Laptop Stand,7,930.17,0.17,5404.29,3141.74,2262.55,Debit Card
ORD00132,2025-03-12,CUST0377,West,Electronics,Monitor,6,1252.37,0.0,7514.22,5352.69,2161.53,UPI
ORD00133,2025-11-28,CUST0132,Central,Electronics,Headphones,3,1266.12,0.12,3342.56,2091.5,1251.06,Net Banking
ORD00134,2025-02-08,CUST0202,West,Electronics,Headphones,8,341.47,0.03,2649.81,1807.34,842.47,Net Banking
ORD00135,2025-05-29,CUST0216,Central,Office Supplies,Notebook,4,615.44,0.22,1920.17,1206.9,713.27,Net Banking
ORD00136,2025-10-31,CUST0082,East,Electronics,Monitor,7,1060.36,0.01,7348.29,4558.21,2790.08,UPI
ORD00137,2024-04-18,CUST0076,South,Electronics,Headphones,3,757.42,0.02,2226.81,1047.7,1179.11,Debit Card
ORD00138,2024-07-01,CUST0113,North,Electronics,Laptop,4,785.56,0.11,2796.59,1402.79,1393.8,Debit Card
ORD00139,2024-04-27,CUST0301,North,Office Supplies,Stapler,4,112.56,0.2,360.19,258.73,101.46,Credit Card
ORD00140,2025-07-12,CUST0078,West,Electronics,Monitor,4,754.33,0.04,2896.63,1998.87,897.76,UPI
ORD00141,2024-05-17,CUST0050,East,Accessories,USB Hub,9,1426.46,0.05,12196.23,7902.46,4293.77,Credit Card
ORD00142,2025-07-16,CUST0245,East,Electronics,Keyboard,1,887.0,0.15,753.95,523.38,230.57,Debit Card
ORD00143,2024-03-14,CUST0192,Central,Accessories,USB Hub,3,577.83,0.12,1525.47,943.22,582.25,Net Banking
ORD00144,2024-11-08,CUST0100,North,Accessories,Webcam,4,93.77,0.23,288.81,221.89,66.92,Debit Card
ORD00145,2025-02-11,CUST0364,South,Accessories,Webcam,9,1132.04,0.16,8558.22,6716.62,1841.6,Debit Card
ORD00146,2025-02-03,CUST0182,South,Office Supplies,Printer Paper,7,385.53,0.23,2078.01,1116.6,961.41,Credit Card
ORD00147,2025-08-18,CUST0338,South,Office Supplies,Notebook,6,116.74,0.12,616.39,284.63,331.76,UPI
ORD00148,2025-09-30,CUST0399,South,Office Supplies,Notebook,5,807.98,0.1,3635.91,2078.18,1557.73,Net Banking
ORD00149,2025-10-27,CUST0492,North,Electronics,Headphones,4,209.42,0.22,653.39,384.0,269.39,Credit Card
ORD00150,2024-10-31,CUST0403,East,Accessories,Webcam,5,399.66,0.16,1678.57,871.74,806.83,Credit Card
ORD00151,2025-05-04,CUST0327,North,Office Supplies,Notebook,9,290.86,0.01,2591.56,1819.28,772.28,Credit Card
ORD00152,2024-06-25,CUST0017,South,Office Supplies,Pen Set,2,617.89,0.14,1062.77,772.73,290.04,Debit Card
ORD00153,2024-01-22,CUST0112,North,Electronics,Monitor,6,1273.44,0.11,6800.17,3395.57,3404.6,Debit Card
ORD00154,2025-08-10,CUST0344,West,Office Supplies,Printer Paper,2,1295.74,0.12,2280.5,1624.28,656.22,UPI
ORD00155,2025-01-25,CUST0277,West,Electronics,Monitor,3,96.9,0.2,232.56,121.04,111.52,Debit Card
ORD00156,2024-07-31,CUST0079,West,Furniture,Bookshelf,4,1139.99,0.13,3967.17,2069.71,1897.46,Net Banking
ORD00157,2024-03-06,CUST0409,East,Office Supplies,Printer Paper,9,849.07,0.19,6189.72,3994.18,2195.54,Net Banking
ORD00158,2025-08-23,CUST0379,South,Furniture,Cabinet,1,598.28,0.2,478.62,277.68,200.94,UPI
ORD00159,2025-05-22,CUST0476,North,Electronics,Keyboard,5,1447.43,0.05,6875.29,4353.2,2522.09,Net Banking
ORD00160,2024-08-25,CUST0104,South,Accessories,Mouse,5,482.28,0.16,2025.58,1050.35,975.23,Debit Card
ORD00161,2024-09-15,CUST0283,South,Office Supplies,Pen Set,4,845.57,0.04,3246.99,2158.32,1088.67,UPI
ORD00162,2025-09-04,CUST0416,West,Electronics,Headphones,6,228.25,0.05,1301.02,669.35,631.67,Net Banking
ORD00163,2025-06-27,CUST0137,West,Accessories,USB Hub,5,671.68,0.15,2854.64,1367.98,1486.66,UPI
ORD00164,2025-06-16,CUST0158,Central,Accessories,Webcam,7,1451.35,0.1,9143.5,7263.95,1879.55,Debit Card
ORD00165,2025-06-20,CUST0131,North,Furniture,Cabinet,6,1470.08,0.16,7409.2,3670.81,3738.39,Net Banking
ORD00166,2025-12-01,CUST0476,Central,Electronics,Laptop,4,1337.58,0.02,5243.31,3701.9,1541.41,Credit Card
ORD00167,2025-01-29,CUST0450,West,Accessories,Laptop Stand,6,820.37,0.18,4036.22,2260.37,1775.85,Net Banking
ORD00168,2024-10-03,CUST0156,South,Office Supplies,Notebook,5,396.4,0.2,1585.6,1201.79,383.81,Debit Card
ORD00169,2024-12-03,CUST0314,East,Office Supplies,Notebook,5,641.78,0.23,2470.85,1751.55,719.3,Credit Card
ORD00170,2024-10-15,CUST0212,Central,Furniture,Bookshelf,6,1112.34,0.2,5339.23,3979.37,1359.86,Net Banking
ORD00171,2025-03-29,CUST0201,West,Accessories,Webcam,2,486.08,0.0,972.16,669.41,302.75,Net Banking
ORD00172,2025-03-17,CUST0409,Central,Electronics,Laptop,8,127.55,0.02,999.99,569.13,430.86,UPI
ORD00173,2025-02-04,CUST0039,North,Office Supplies,Notebook,5,624.29,0.19,2528.37,1937.4,590.97,UPI
ORD00174,2025-03-18,CUST0091,South,Accessories,Laptop Stand,2,983.14,0.22,1533.7,690.27,843.43,Net Banking
ORD00175,2025-10-20,CUST0030,East,Accessories,Webcam,6,355.56,0.1,1920.02,950.6,969.42,Net Banking
ORD00176,2025-10-23,CUST0432,North,Furniture,Desk,9,643.74,0.01,5735.72,4520.81,1214.91,UPI
ORD00177,2024-06-21,CUST0327,North,Office Supplies,Printer Paper,3,1242.54,0.17,3093.92,2301.29,792.63,UPI
ORD00178,2024-04-29,CUST0422,Central,Office Supplies,Pen Set,7,808.36,0.16,4753.16,2887.28,1865.88,Credit Card
ORD00179,2024-03-29,CUST0142,East,Electronics,Headphones,8,409.71,0.01,3244.9,2104.35,1140.55,Credit Card
ORD00180,2024-03-08,CUST0476,South,Office Supplies,Stapler,9,463.88,0.19,3381.69,1578.74,1802.95,Credit Card
ORD00181,2025-04-21,CUST0062,North,Electronics,Laptop,6,1340.61,0.05,7641.48,3649.87,3991.61,Net Banking
ORD00182,2025-10-22,CUST0325,West,Office Supplies,Printer Paper,3,416.31,0.2,999.14,650.11,349.03,Credit Card
ORD00183,2024-02-04,CUST0465,South,Furniture,Bookshelf,1,1111.6,0.13,967.09,446.24,520.85,Net Banking
ORD00184,2025-03-13,CUST0076,North,Office Supplies,Pen Set,1,57.21,0.17,47.48,22.73,24.75,UPI
ORD00185,2025-05-19,CUST0157,East,Electronics,Monitor,4,676.2,0.15,2299.08,1542.59,756.49,Net Banking
ORD00186,2025-08-01,CUST0342,West,Electronics,Keyboard,7,214.91,0.06,1414.11,1025.74,388.37,Debit Card
ORD00187,2024-09-18,CUST0214,North,Furniture,Cabinet,2,719.89,0.25,1079.84,587.58,492.26,Debit Card
ORD00188,2025-03-24,CUST0441,Central,Office Supplies,Notebook,6,87.56,0.04,504.35,275.82,228.53,Credit Card
ORD00189,2025-11-19,CUST0141,Central,Office Supplies,Notebook,3,310.22,0.15,791.06,433.69,357.37,Debit Card
ORD00190,2025-08-24,CUST0295,Central,Furniture,Desk,1,344.22,0.01,340.78,166.24,174.54,Credit Card
ORD00191,2025-07-06,CUST0017,Central,Office Supplies,Notebook,6,1399.0,0.1,7554.6,3629.85,3924.75,UPI
ORD00192,2025-05-08,CUST0147,East,Office Supplies,Stapler,7,870.67,0.01,6033.74,4141.54,1892.2,Credit Card
ORD00193,2024-04-18,CUST0268,Central,Electronics,Keyboard,1,597.01,0.18,489.55,371.47,118.08,Net Banking
ORD00194,2024-06-22,CUST0343,Central,Office Supplies,Notebook,7,1431.97,0.18,8219.51,6181.14,2038.37,UPI
ORD00195,2025-11-03,CUST0127,West,Office Supplies,Stapler,1,913.62,0.17,758.3,371.62,386.68,Debit Card
ORD00196,2024-11-27,CUST0378,East,Furniture,Desk,3,902.56,0.14,2328.6,1781.64,546.96,UPI
ORD00197,2024-09-22,CUST0398,South,Furniture,Desk,7,630.76,0.16,3708.87,2508.15,1200.72,UPI
ORD00198,2025-10-28,CUST0117,South,Accessories,Webcam,9,926.61,0.22,6504.8,4575.41,1929.39,Credit Card
ORD00199,2024-09-24,CUST0419,East,Electronics,Monitor,3,810.27,0.04,2333.58,1059.67,1273.91,Credit Card
ORD00200,2024-10-05,CUST0408,North,Office Supplies,Stapler,5,202.04,0.14,868.77,495.29,373.48,Debit Card
ORD00201,2025-01-09,CUST0073,Central,Office Supplies,Pen Set,5,1044.89,0.11,4649.76,3187.59,1462.17,Debit Card
ORD00202,2024-02-10,CUST0063,East,Accessories,Webcam,2,588.67,0.11,1047.83,683.96,363.87,Net Banking
ORD00203,2024-10-16,CUST0440,West,Office Supplies,Pen Set,9,60.58,0.1,490.7,311.12,179.58,Credit Card
ORD00204,2025-10-30,CUST0202,West,Electronics,Keyboard,4,86.27,0.19,279.51,218.39,61.12,Debit Card
ORD00205,2025-07-29,CUST0325,South,Accessories,Laptop Stand,3,524.09,0.02,1540.82,914.28,626.54,Net Banking
ORD00206,2025-03-09,CUST0325,East,Electronics,Headphones,8,1482.29,0.11,10553.9,7291.65,3262.25,UPI
ORD00207,2024-08-21,CUST0051,South,Accessories,USB Hub,4,166.97,0.05,634.49,491.08,143.41,Debit Card
ORD00208,2024-06-18,CUST0124,Central,Accessories,USB Hub,5,448.08,0.23,1725.11,846.42,878.69,UPI
ORD00209,2024-03-17,CUST0059,West,Furniture,Bookshelf,6,912.36,0.21,4324.59,3435.47,889.12,Credit Card
ORD00210,2025-11-04,CUST0365,Central,Electronics,Laptop,6,821.28,0.04,4730.57,3045.54,1685.03,UPI
ORD00211,2025-05-11,CUST0341,West,Office Supplies,Stapler,3,547.15,0.21,1296.75,905.33,391.42,Credit Card
ORD00212,2025-09-28,CUST0483,Central,Office Supplies,Pen Set,7,826.34,0.04,5553.0,3631.91,1921.09,UPI
ORD00213,2024-04-13,CUST0214,North,Electronics,Monitor,4,614.63,0.25,1843.89,1397.87,446.02,Net Banking
ORD00214,2025-10-18,CUST0101,West,Office Supplies,Printer Paper,3,317.94,0.1,858.44,398.15,460.29,Debit Card
ORD00215,2024-09-02,CUST0149,East,Office Supplies,Stapler,5,906.7,0.09,4125.49,2518.46,1607.03,UPI
ORD00216,2025-06-07,CUST0070,North,Electronics,Headphones,5,1195.43,0.07,5558.75,4207.87,1350.88,UPI
ORD00217,2024-04-11,CUST0075,North,Accessories,USB Hub,4,1298.05,0.15,4413.37,2565.78,1847.59,Debit Card
ORD00218,2025-04-09,CUST0179,Central,Electronics,Headphones,7,592.08,0.13,3605.77,2243.92,1361.85,Debit Card
ORD00219,2024-12-30,CUST0163,North,Accessories,USB Hub,2,676.31,0.15,1149.73,755.36,394.37,Net Banking
ORD00220,2025-07-28,CUST0294,East,Office Supplies,Pen Set,1,967.49,0.07,899.77,480.6,419.17,UPI
ORD00221,2025-11-13,CUST0323,South,Office Supplies,Notebook,7,48.29,0.12,297.47,205.46,92.01,Debit Card
ORD00222,2025-11-26,CUST0286,North,Office Supplies,Pen Set,5,550.9,0.2,2203.6,1206.62,996.98,Debit Card
ORD00223,2024-11-22,CUST0030,East,Furniture,Bookshelf,3,1496.77,0.17,3726.96,2757.82,969.14,Credit Card
